Date,Open,High,Low,Close,Adj Close,Volume
2014-01-02,33.680000,33.680000,33.680000,33.680000,24.748299,0
2014-01-03,33.490002,33.490002,33.490002,33.490002,24.608685,0
2014-01-06,33.180000,33.180000,33.180000,33.180000,24.380896,0
2014-01-07,33.349998,33.349998,33.349998,33.349998,24.505812,0
2014-01-08,33.779999,33.779999,33.779999,33.779999,24.821777,0
2014-01-09,33.349998,33.349998,33.349998,33.349998,24.505812,0
2014-01-10,33.270000,33.270000,33.270000,33.270000,24.447027,0
2014-01-13,33.139999,33.139999,33.139999,33.139999,24.351501,0
2014-01-14,33.619999,33.619999,33.619999,33.619999,24.704210,0
2014-01-15,33.779999,33.779999,33.779999,33.779999,24.821777,0
2014-01-16,33.889999,33.889999,33.889999,33.889999,24.902607,0
2014-01-17,34.130001,34.130001,34.130001,34.130001,25.078964,0
2014-01-21,33.889999,33.889999,33.889999,33.889999,24.902607,0
2014-01-22,34.009998,34.009998,34.009998,34.009998,24.990786,0
2014-01-23,33.419998,33.419998,33.419998,33.419998,24.557247,0
2014-01-24,32.419998,32.419998,32.419998,32.419998,23.822441,0
2014-01-27,32.049999,32.049999,32.049999,32.049999,23.550562,0
2014-01-28,32.419998,32.419998,32.419998,32.419998,23.822441,0
2014-01-29,32.520000,32.520000,32.520000,32.520000,23.895924,0
2014-01-30,32.680000,32.680000,32.680000,32.680000,24.013491,0
2014-01-31,32.650002,32.650002,32.650002,32.650002,23.991447,0
2014-02-03,31.980000,31.980000,31.980000,31.980000,23.499126,0
2014-02-04,31.719999,31.719999,31.719999,31.719999,23.308077,0
2014-02-05,31.330000,31.330000,31.330000,31.330000,23.021503,0
2014-02-06,32.160000,32.160000,32.160000,32.160000,23.631392,0
2014-02-07,32.549999,32.549999,32.549999,32.549999,23.917967,0
2014-02-10,32.509998,32.509998,32.509998,32.509998,23.888575,0
2014-02-11,33.020000,33.020000,33.020000,33.020000,24.263327,0
2014-02-12,33.160000,33.160000,33.160000,33.160000,24.366199,0
2014-02-13,33.000000,33.000000,33.000000,33.000000,24.248631,0
2014-02-14,33.099998,33.099998,33.099998,33.099998,24.322109,0
2014-02-18,33.410000,33.410000,33.410000,33.410000,24.549900,0
2014-02-19,33.430000,33.430000,33.430000,33.430000,24.564598,0
2014-02-20,33.290001,33.290001,33.290001,33.290001,24.461725,0
2014-02-21,33.250000,33.250000,33.250000,33.250000,24.432331,0
2014-02-24,32.880001,32.880001,32.880001,32.880001,24.160454,0
2014-02-25,32.810001,32.810001,32.810001,32.810001,24.109016,0
2014-02-26,33.160000,33.160000,33.160000,33.160000,24.366199,0
2014-02-27,33.669998,33.669998,33.669998,33.669998,24.740950,0
2014-02-28,33.849998,33.849998,33.849998,33.849998,24.873213,0
2014-03-03,33.560001,33.560001,33.560001,33.560001,24.660122,0
2014-03-04,33.959999,33.959999,33.959999,33.959999,24.954044,0
2014-03-05,33.990002,33.990002,33.990002,33.990002,24.976089,0
2014-03-06,34.349998,34.349998,34.349998,34.349998,25.240620,0
2014-03-07,34.200001,34.200001,34.200001,34.200001,25.130400,0
2014-03-10,33.660000,33.660000,33.660000,33.660000,24.733603,0
2014-03-11,33.750000,33.750000,33.750000,33.750000,24.799734,0
2014-03-12,33.349998,33.349998,33.349998,33.349998,24.505812,0
2014-03-13,32.709999,32.709999,32.709999,32.709999,24.035538,0
2014-03-14,32.549999,32.549999,32.549999,32.549999,23.917967,0
2014-03-17,32.619999,32.619999,32.619999,32.619999,23.969402,0
2014-03-18,32.900002,32.900002,32.900002,32.900002,24.175152,0
2014-03-19,32.790001,32.790001,32.790001,32.790001,24.094318,0
2014-03-20,32.209999,32.209999,32.209999,32.209999,23.668131,0
2014-03-21,32.349998,32.349998,32.349998,32.349998,23.771006,0
2014-03-24,32.439999,32.439999,32.439999,32.439999,23.837137,0
2014-03-25,32.119999,32.119999,32.119999,32.119999,23.601999,0
2014-03-26,32.310001,32.310001,32.310001,32.310001,23.741613,0
2014-03-27,31.790001,31.790001,31.790001,31.790001,23.359512,0
2014-03-28,32.240002,32.240002,32.240002,32.240002,23.690178,0
2014-03-31,32.619999,32.619999,32.619999,32.619999,23.969402,0
2014-04-01,33.340000,33.340000,33.340000,33.340000,24.498465,0
2014-04-02,33.500000,33.500000,33.500000,33.500000,24.616034,0
2014-04-03,33.290001,33.290001,33.290001,33.290001,24.461725,0
2014-04-04,32.639999,32.639999,32.639999,32.639999,23.984098,0
2014-04-07,32.369999,32.369999,32.369999,32.369999,23.785702,0
2014-04-08,32.610001,32.610001,32.610001,32.610001,23.962055,0
2014-04-09,33.220001,33.220001,33.220001,33.220001,24.410290,0
2014-04-10,32.889999,32.889999,32.889999,32.889999,24.167801,0
2014-04-11,32.660000,32.660000,32.660000,32.660000,23.998795,0
2014-04-14,32.790001,32.790001,32.790001,32.790001,24.094318,0
2014-04-15,32.480000,32.480000,32.480000,32.480000,23.866529,0
2014-04-16,32.639999,32.639999,32.639999,32.639999,23.984098,0
2014-04-17,32.849998,32.849998,32.849998,32.849998,24.138409,0
2014-04-21,32.860001,32.860001,32.860001,32.860001,24.145760,0
2014-04-22,33.049999,33.049999,33.049999,33.049999,24.285370,0
2014-04-23,32.860001,32.860001,32.860001,32.860001,24.145760,0
2014-04-24,32.910000,32.910000,32.910000,32.910000,24.182497,0
2014-04-25,32.259998,32.259998,32.259998,32.259998,23.704870,0
2014-04-28,31.840000,31.840000,31.840000,31.840000,23.396255,0
2014-04-29,31.870001,31.870001,31.870001,31.870001,23.418299,0
2014-04-30,31.389999,31.389999,31.389999,31.389999,23.065590,0
2014-05-01,31.450001,31.450001,31.450001,31.450001,23.109678,0
2014-05-02,31.809999,31.809999,31.809999,31.809999,23.374208,0
2014-05-05,31.690001,31.690001,31.690001,31.690001,23.286034,0
2014-05-06,31.660000,31.660000,31.660000,31.660000,23.263988,0
2014-05-07,31.100000,31.100000,31.100000,31.100000,22.852497,0
2014-05-08,30.770000,30.770000,30.770000,30.770000,22.610010,0
2014-05-09,30.840000,30.840000,30.840000,30.840000,22.661446,0
2014-05-12,31.450001,31.450001,31.450001,31.450001,23.109678,0
2014-05-13,31.500000,31.500000,31.500000,31.500000,23.146420,0
2014-05-14,31.730000,31.730000,31.730000,31.730000,23.315426,0
2014-05-15,31.639999,31.639999,31.639999,31.639999,23.249290,0
2014-05-16,31.610001,31.610001,31.610001,31.610001,23.227249,0
2014-05-19,31.559999,31.559999,31.559999,31.559999,23.190506,0
2014-05-20,31.709999,31.709999,31.709999,31.709999,23.300726,0
2014-05-21,31.990000,31.990000,31.990000,31.990000,23.506475,0
2014-05-22,32.209999,32.209999,32.209999,32.209999,23.668131,0
2014-05-23,32.360001,32.360001,32.360001,32.360001,23.778355,0
2014-05-27,32.439999,32.439999,32.439999,32.439999,23.837137,0
2014-05-28,32.599998,32.599998,32.599998,32.599998,23.954704,0
2014-05-29,32.380001,32.380001,32.380001,32.380001,23.793051,0
2014-05-30,32.439999,32.439999,32.439999,32.439999,23.837137,0
2014-06-02,32.639999,32.639999,32.639999,32.639999,23.984098,0
2014-06-03,32.790001,32.790001,32.790001,32.790001,24.094318,0
2014-06-04,32.570000,32.570000,32.570000,32.570000,23.932663,0
2014-06-05,32.660000,32.660000,32.660000,32.660000,23.998795,0
2014-06-06,32.660000,32.660000,32.660000,32.660000,23.998795,0
2014-06-09,32.919998,32.919998,32.919998,32.919998,24.189844,0
2014-06-10,33.209999,33.209999,33.209999,33.209999,24.402939,0
2014-06-11,33.310001,33.310001,33.310001,33.310001,24.476421,0
2014-06-12,33.090000,33.090000,33.090000,33.090000,24.314764,0
2014-06-13,33.369999,33.369999,33.369999,33.369999,24.520508,0
2014-06-16,33.430000,33.430000,33.430000,33.430000,24.564598,0
2014-06-17,33.209999,33.209999,33.209999,33.209999,24.402939,0
2014-06-18,33.349998,33.349998,33.349998,33.349998,24.505812,0
2014-06-19,33.180000,33.180000,33.180000,33.180000,24.380896,0
2014-06-20,33.130001,33.130001,33.130001,33.130001,24.344154,0
2014-06-23,32.820000,32.820000,32.820000,32.820000,24.116365,0
2014-06-24,32.880001,32.880001,32.880001,32.880001,24.160454,0
2014-06-25,32.990002,32.990002,32.990002,32.990002,24.241283,0
2014-06-26,33.450001,33.450001,33.450001,33.450001,24.579290,0
2014-06-27,33.560001,33.560001,33.560001,33.560001,24.660122,0
2014-06-30,33.799999,33.799999,33.799999,33.799999,24.836475,0
2014-07-01,34.049999,34.049999,34.049999,34.049999,25.020178,0
2014-07-02,34.259998,34.259998,34.259998,34.259998,25.174486,0
2014-07-03,34.529999,34.529999,34.529999,34.529999,25.372883,0
2014-07-07,34.630001,34.630001,34.630001,34.630001,25.446365,0
2014-07-08,34.470001,34.470001,34.470001,34.470001,25.328798,0
2014-07-09,34.180000,34.180000,34.180000,34.180000,25.115702,0
2014-07-10,34.380001,34.380001,34.380001,34.380001,25.262665,0
2014-07-11,34.369999,34.369999,34.369999,34.369999,25.255316,0
2014-07-14,34.490002,34.490002,34.490002,34.490002,25.343494,0
2014-07-15,34.570000,34.570000,34.570000,34.570000,25.402275,0
2014-07-16,34.410000,34.410000,34.410000,34.410000,25.284708,0
2014-07-17,33.869999,33.869999,33.869999,33.869999,24.887913,0
2014-07-18,34.189999,34.189999,34.189999,34.189999,25.123049,0
2014-07-21,34.180000,34.180000,34.180000,34.180000,25.115702,0
2014-07-22,34.709999,34.709999,34.709999,34.709999,25.505150,0
2014-07-23,34.919998,34.919998,34.919998,34.919998,25.659458,0
2014-07-24,35.080002,35.080002,35.080002,35.080002,25.777029,0
2014-07-25,35.070000,35.070000,35.070000,35.070000,25.769682,0
2014-07-28,35.240002,35.240002,35.240002,35.240002,25.894600,0
2014-07-29,35.209999,35.209999,35.209999,35.209999,25.872551,0
2014-07-30,35.169998,35.169998,35.169998,35.169998,25.843161,0
2014-07-31,34.700001,34.700001,34.700001,34.700001,25.497803,0
2014-08-01,34.790001,34.790001,34.790001,34.790001,25.563934,0
2014-08-04,35.160000,35.160000,35.160000,35.160000,25.835812,0
2014-08-05,34.770000,34.770000,34.770000,34.770000,25.549240,0
2014-08-06,34.840000,34.840000,34.840000,34.840000,25.600674,0
2014-08-07,34.450001,34.450001,34.450001,34.450001,25.314102,0
2014-08-08,34.830002,34.830002,34.830002,34.830002,25.593328,0
2014-08-11,34.980000,34.980000,34.980000,34.980000,25.703547,0
2014-08-12,35.080002,35.080002,35.080002,35.080002,25.777029,0
2014-08-13,35.439999,35.439999,35.439999,35.439999,26.041557,0
2014-08-14,35.320000,35.320000,35.320000,35.320000,25.953382,0
2014-08-15,35.259998,35.259998,35.259998,35.259998,25.909292,0
2014-08-18,35.169998,35.169998,35.169998,35.169998,25.843161,0
2014-08-19,35.419998,35.419998,35.419998,35.419998,26.026861,0
2014-08-20,35.570000,35.570000,35.570000,35.570000,26.137083,0
2014-08-21,35.230000,35.230000,35.230000,35.230000,25.887249,0
2014-08-22,35.419998,35.419998,35.419998,35.419998,26.026861,0
2014-08-25,35.509998,35.509998,35.509998,35.509998,26.092995,0
2014-08-26,35.540001,35.540001,35.540001,35.540001,26.115042,0
2014-08-27,35.490002,35.490002,35.490002,35.490002,26.078300,0
2014-08-28,35.150002,35.150002,35.150002,35.150002,25.828466,0
2014-08-29,35.230000,35.230000,35.230000,35.230000,25.887249,0
2014-09-02,35.330002,35.330002,35.330002,35.330002,25.960732,0
2014-09-03,35.810001,35.810001,35.810001,35.810001,26.313438,0
2014-09-04,35.840000,35.840000,35.840000,35.840000,26.335482,0
2014-09-05,35.939999,35.939999,35.939999,35.939999,26.408962,0
2014-09-08,35.900002,35.900002,35.900002,35.900002,26.379572,0
2014-09-09,35.770000,35.770000,35.770000,35.770000,26.284044,0
2014-09-10,35.410000,35.410000,35.410000,35.410000,26.019514,0
2014-09-11,35.259998,35.259998,35.259998,35.259998,25.909292,0
2014-09-12,35.099998,35.099998,35.099998,35.099998,25.791721,0
2014-09-15,34.700001,34.700001,34.700001,34.700001,25.497803,0
2014-09-16,34.590000,34.590000,34.590000,34.590000,25.416973,0
2014-09-17,34.740002,34.740002,34.740002,34.740002,25.527197,0
2014-09-18,34.790001,34.790001,34.790001,34.790001,25.563934,0
2014-09-19,34.840000,34.840000,34.840000,34.840000,25.600674,0
